标题,文本,文件名
法国全面禁止双酚A用于食品包装,据新华网1月2日报道，未来几个月，一切含双酚A（BPA）成分且与食品有直接接触的食品包装，将逐渐退出法国消费者的视线。根据2012年12月颁布的一项法律，法国从今年1月起全面禁止生产、进口、出口或销售任何含有双酚A的食品包装，以避免这种物质对人体健康构成潜在危害。法国从2013年起已禁止在婴幼儿食品包装和容器中使用双酚A。双酚A是一种被广泛用于塑料制造的化学物质。人们日常生活中接触到的硬质、透明塑料瓶等用于盛放食品和饮料的塑料包装物中，大多含有这一物质。同时，由于能够防止酸性食物对金属容器的侵蚀，双酚A也被广泛应用于金属罐头、易拉罐等容器的内部涂层中。有关双酚Ａ是否危害人体健康的争论由来已久，而科学界尚无明确定论。但此前一些研究已证实双酚Ａ属内分泌干扰素（也称环境荷尔蒙），可影响动物的内分泌机能。法国国家卫生安全署曾在2013年4月发布研究报告称，双酚A对健康有潜在危害，而人们接触双酚Ａ的途径当中超过80%与食品相关。该报告还指出，双酚A可导致孕妇腹中胎儿乳腺结构发生变化，增加未来长肿瘤的几率。这一措施的实施使法国成为全球首个大规模禁止双酚A的国家。对此，一些当地专家也提出了不同意见。法国毒理学家让-弗朗索瓦·纳尔博纳说，没有必要过早彻底禁止所有含双酚A的食品包装，因为当前尚没有流行病学研究表明这一物质对人体健康构成威胁。他认为，政府可以采取更有针对性的措施，例如建议孕妇、婴儿、青少年等敏感人群减少接触双酚A，或者禁止在婴儿奶制品等敏感食品的包装中使用双酚A。,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
欧盟评估双酚A的健康风险,2015年1月21日，据欧洲食品安全局（EFSA）消息，欧洲食品安全局就双酚A的健康风险发布意见。欧洲食品安全局专家组对不同年龄群体的进行了三种方式暴露分析。这三种方式分别为：外部暴露（饮食、饮用水、吸入剂、化妆品与热敏纸）、内部暴露（双酚A吸收剂量，共轭与非共轭双酚A）、累计暴露（饮食、灰尘、消费品、热敏纸）。欧洲食品安全局专家组经评估认为，膳食暴露或者累计暴露途径不会对任何年龄群体的健康构成影响。非膳食暴露途径具有不确定性，然而对于膳食暴露来讲，这种不确定性相对较低。欧盟专家还强调，摄入高剂量的双酚Ａ，如上百倍于每日耐受摄入量标准，可能严重伤害肾脏和肝脏，此外对动物的乳腺也有不良影响。双酚Ａ是一种被广泛用于塑料制品的化学物质。目前欧盟各国对双酚Ａ的态度不尽一致。,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
欧盟拟修订甲基虫螨磷的最大残留限量,2015年1月16日，据欧洲食品安全局（EFSA）消息，按照 (EC) No 396/2005第12章的规定，欧洲食品安全局就审查，欧洲食品安全局就审查甲基虫螨磷（pirimiphos-methyl）的最大残留限量发布意见。为了解甲基虫螨磷在植物、加工商品、轮作农作物以及牲畜中的最大残留限量，EFSA审查了91/414/EEC号指令当中的结论以及成员国报告的进口限量与欧盟许可。在现有数据基础之上，EFSA得出最大残留限量提案并开展了消费者风险评估。现拟修订内容如下：,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
欧盟拟修订甲氧磺草胺和硝磺酮的最大残留限量,2015年1月19日，据欧洲食品安全局（EFSA）消息，按照 (EC) No 396/2005第12章的规定，欧洲食品安全局就审查甲氧磺草胺胺（Metosulam）和硝磺酮（mesotrione）的最大残留限量发布意见。为了解甲氧磺草胺胺和硝磺酮在植物、加工商品、轮作农作物以及牲畜中的最大残留限量，EFSA审查了91/414/EEC号指令当中的结论以及成员国报告的进口限量与欧盟许可。在现有数据基础之上，EFSA得出最大残留限量提案并开展了消费者风险评估。现拟修订内容如下：,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
欧盟就多果定的最大残留限量的审查发布合理化建议,"2015年1月6日，据欧洲食品安全局消息（EFSA），根据欧盟法规396/2005号第12条的规定，欧洲食品安全局审阅了农药活性物质多果定（dodine）在欧洲现行的多个最大残留限量（MRLs）。根据现有数据的评估，推导出了建议的最大残留限量（MRLs），并进行了消费者风险评估。多果定的每日允许摄入量为0.1毫克/千克体重/天,急性参考剂量为0.1毫克/千克体重。美国",SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
美国环保局宣布向七类乙二醇醚实施限制,美国环保局公布一项最终规则，对7类可能引致先天缺陷及血液中毒等健康问题的乙二醇醚(又称聚乙烯醚)实施进口限制，乙二醇醚常用作工业溶剂和加工助剂，其中一些还用于包括墨水、油漆、涂层、黏合剂、涂鸦去除剂及焊接复合材料中。该项规则于2月17日生效。因此在进口、生产或加工以下物质前最少90日，相关人员必须通知环保局：1.    用于消费品内的乙二醇二甲醚；2.    用于消费品内的二乙二醇二甲醚；3.    用于消费品内的乙二醇二乙醚；4.    用于消费品内的二乙二醇二乙醚，但用作墨水、涂层、黏合剂、油漆及涂鸦去除剂的成份除外；5.    用于消费品内的三乙二醇二甲醚，但用作黏合剂溶剂、刹车油、油漆/涂鸦去除剂及油漆的成份除外；6.    用于消费品内的二乙二醇二丁醚，但用作墨水、涂层、黏合剂及焊接复合材料的成份除外；7.    用于各种用途的三乙二醇二丁醚。环保局把乙二醇二甲醚列入化学品评估工作计划内，并将进行风险评估，以断判是否需要进一步减低这种化学品的风险。环保局认为，这7种乙二醇醚的新用途若未经审核，不应获得允许，如有需要更须对其实施限制。另外7种乙二醇醚虽已纳入建议规则内，但上述最终规则却没有收纳，原因是环保局并不认为这7种乙二醇醚与上述列出的7种乙二醇醚一样，会产生相类似的潜在接触风险。若有公司进口这些受管制的乙二醇醚，必须证明这些化学品符合规定。任何人士若出口或有意出口受上述最终规则规管的化学物质，必须遵守《美国法典》第15卷第2611(b)条的出口通知规定以及《美国联邦法典》第40卷第707部分D段的出口通知规定。另一方面，美国环保局宣布，有意公布《重要新用途规则》，以应对以下化学品对人类构成的健康风险：•用于生产纺织品、油漆及墨水的9种联苯胺染料。•用于聚氯乙烯塑料的邻苯二甲酸二戊酯。•用作工业润滑油的氯代烷烃C12-13。环保局发出的新闻稿指出，这些最终《重要新用途规则》规定任何人有意生产(包括进口)或加工这些化学品以进行重要新用途时，必须在活动开始前90日通报环保局，让局方有机会评估相关化学品的新用途，如有需要可以采取行动禁止或限制有关活动。环保局又表示，把9种联苯胺染料纳入现行的《重要新用途规则》可以堵塞漏洞，确保这些化学品及含有这些化学品的产品在未经环保局审核及实施限制前不得进入美国。局方正物色更加安全的染料及着色剂代替联苯胺。,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
美国修订粉唑醇和苯醚甲环唑的残留限量要求,2015年2月4日，美国环保署发布对粉唑醇（Flutriafol）的残留限量要求，本规则于2015年2月4日起生效，反对或听证要求按40 CFR§178的说明在2015年4月6日前提交。具体如下：,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
美国修订氟啶虫胺腈在高粱产品中的残留限量规定,2015年1月28日，据美国政府网站消息，美国联邦公报发布通告，修订氟啶虫胺腈（Sulfoxaflor）的残留限量规定，将氟啶虫胺腈在高粱产品当中残留限量的期限定为2017年12月31日。据悉，美国环保署许可一项关于氟啶虫胺腈在高粱产品当中残留限量的紧急豁免规定，对此美国联邦公报发布通知，制定如下最新残留限量规定。新规定已于1月28日生效。征求有关意见的截止日期为3月30日。中国·台湾,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
台湾地区修订酒类标示管理办法部分条文,2015年1月1日，台湾地区台财库字第10303787550号令修订“酒类标示管理办法”部分条文，如下：第一条 本办法依烟酒管理法（以下简称本法）第三十二条第六项规定订定。第七条 酒类进口业者应依本法第三十二条第一项第四款标示进口酒的原产地，并于报关前将原产地（国）的政府、原产地（国）政府授权的商会、出口地（国）政府或出口地（国）政府授权的商会所出具的原产地证明送“中央”主管机关备供查核。第八条 本法第三十二条第一项第五款酒业者名称及地址的标示，应包括足供消费者辨识及联络的内容。经没收或没入的酒类于标售处置后，应由主管机关抽检已标示得标人名称及地址，始能交付得标人。第十条 酒类日期的标示，应标明台历或公历的年月日。但有效期限在三个月以上者，有效日期的标示方式可仅标明年月，并推定该有效期限至当月的月底。第十一条 酒类的警语标示，应以长宽为2.65毫米以上字体于酒品容器最大外表面积明显处清楚为之，其颜色应与底色互为对比，以利辨识。前项警语标示，除酒精类外，应以「饮酒过量，有害（碍）健康」或下列警语的一标示：一、酒后不开车，安全有保障。二、饮酒过量，害人害己。三、未满十八岁禁止饮酒。四、短时间内大量灌酒会使人立即丧命。五、其他经“中央”主管机关核准的警语。酒精类应标示下列的警语：一、高度易燃，应远离火源、火花、火焰。二、刺激眼睛、皮肤、呼吸系统，应置于阴凉且通风良好处，并紧盖容器。第十二条 本法所称年份，指水果酿造酒的所含同一种类水果原料，至少85%来自同一采收年份。本法所称酒龄，指该酒类产品于装瓶前贮存于容器中熟成时间；以数种酒龄的酒类调制而成，应以最短的酒龄标示。酒类标示陈年者，应加注熟成年数；如以数种陈年的酒类调制而成者，应以最短的酒龄标示熟成年数。前开熟成年数的标示，须具有详实纪录及相关证明文件，备供查核。第一项至第三项的标示，应以单一数字为之。进口酒类标示年份或酒龄时，应于报关前将原产地（国）的政府或其授权的商会所出具的年份或酒龄证明书送“中央”主管机关备供查核。第十五条 本办法自发布日施行。2008年5月16日修正的第五条第一项第八款修正条文，自2008年5月16日施行。2010年9月16日修正的条文，自2010年9月16日施行。2015年1月1日修正的条文，自2015年7月1日施行。,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
台湾地区修订酒制造业良好卫生标准,2015年1月1日，台湾地区台财库字第10303778010号和部授食字第1031304459号令修订“酒制造业良好卫生标准”，如下：第一条本标准依烟酒管理法（以下简称本法）第二十七条第一项规定订定。第二条本标准适用于本法第五条第一项第一款所定的酒制造业者。酒产制工厂除应符合酒产制工厂设厂标准外，并应符合本标准的规定。第三条本标准用词定义如下：一、原材料：指原料及包装材料。二、原料：指构成成品可食部分的原料，包括主原料、副原料及酒类中添加物。(一)主原料：指构成成品的主要原料。(二)副原料：指主原料及酒类中添加物以外的构成成品的次要原料。(三)酒类中添加物：指酒品在制造、加工、调配、包装、运送、贮存等过程中，用以着色、调味、防腐、漂白、乳化、澄清、净化、增加香味、安定质量、促进发酵、增加稠度或凝固、强化营养、防止氧化或其他必要目的，加入、接触于酒品的物质。三、半成品：指酒品制造过程中所得的产品，此产品经随后的制造过程，可制成成品者。四、成品：指经过完整的制造过程并包装标示完成的产品。五、包装材料：包括内包装材料及外包装材料。(一)内包装材料：指与酒液直接接触的酒类容器，如瓶、罐、坛、桶、盒、袋等，及直接包裹或覆盖酒液的包装材料，如箔、膜、木栓、纸、蜡纸等。(二)外包装材料：指未与酒液直接接触的包装材料，包括标签、纸箱、捆包材料等。六、清洁或清洗：指去除尘土、残屑、污物或其他可能污染酒品的不良物质的处理作业。七、消毒：指以符合酒品卫生的化学药剂或物理方法，有效杀灭有害微生物，但不影响酒品质量或其安全的适当处理作业。八、异物、外来杂物：指在制程中除原料之外，混入或附着于原料、半成品、成品或内包装材料的物质，使所产制的酒品有不符合卫生及安全之虞者。九、病媒或有害动物：指会直接或间接污染酒品或媒介病原体的小动物或昆虫，如老鼠、蟑螂、蚊、蝇、臭虫、蚤、虱、蜘蛛及蚂蚁等。十、有害微生物：指造成酒品腐败、质量劣化或危害公共卫生的微生物。十一、 防止病媒侵入设施：以适当且有形的方式，防范病媒侵入的装置，如阴井或适当孔径的栅栏、纱网等。十二、 检验：包括检查与化验。十三、 酒品接触面：包括直接或间接与酒品接触的表面。直接的酒品接触面指器具及与酒品接触的设备表面；间接的酒品接触面，指在正常作业情形下，由其流出的液体会与酒品或酒品直接接触面接触的表面。十四、 适当：指在符合良好卫生作业下，为完成预定目的或效果所必须的措施。十五、 隔离：指区域与区域的间以有形的方式予以隔开者。十六、 区隔：较隔离广义，包括有形及无形的区隔方式。作业区域的区隔可以下列一种或多种方式予以达成，如区域区隔、时间区隔、控制空气流向、采用密闭系统或其他有效方法。十七、 批号：指表示「批」的特定文字、数字或符号等，可据以追溯每批产品的经历数据者，而「批」以批号表示在某一特定时段于某一特定生产线，所生产的特定数量的产品。第四条为有效管理制酒原料的卫生安全，酒品作业场所，不得放置添加变性剂或含有毒有害人体健康物质的酒精。但经主管机关委托贮放且有明确标示者，不在此限。第五条酒产制工厂的建筑与设施，应符合下列规定：一、作业场所的厂区环境：(一)环境应随时保持清洁，地面不得有尘土飞扬，及严重积水、泥泞、污秽等有造成酒品污染之虞情形。(二)排水系统应经常清理，保持畅通，不得有异味。(三)厂区内附设的餐厅、贩卖处或员工宿舍，应与原料处理、酿制、调配、贮酒或放置酒类中添加物等作业场所的区域隔离。(四)回收容器再使用者，厂区内应设置回收容器存放区，以便妥善堆置并保持整洁。(五)禽畜、宠物等应予管制，并有适当的措施避免污染酒品。二、作业场所的建筑与设施：(一)墙壁、支柱与地面应保持清洁，不得有纳垢、侵蚀或积水等情形。(二)楼板或天花板应保持清洁，不得有成片剥落、积尘、纳垢及长霉（制曲区及发酵区除外）等情形；酒品暴露的正上方楼板或天花板不得有结露现象。(三)出入口、门窗、通风口及其他孔道应保持清洁，并应设置防止病媒侵入设施。(四)排水系统应完整畅通，不得有异味，排水沟应有拦截固体废弃物的设施，出口处并应有防止病媒侵入的设施。(五)照明设备应保持清洁，并有灯罩设施，避免污染酒品或掉落；照明光线应达到一百米烛光以上，工作台面或调理台面应保持二百米烛光以上；灯光透视检查台面应达五百四十米烛光以上；使用的光源应不致于改变酒品的呈色。(六)应通风良好，无不良气味，通风口应保持清洁。(七)配管外表应保持清洁，并应定期清扫或清洁。(八)凡清洁度要求不同的场所，应加以有效区隔及管理。(九)应实施有效的病媒防治措施，不得有病媒或其出没的痕迹。三、作业场所的配置与空间：(一)凡依流程及卫生安全要求而定的作业性质不同的场所，应个别设置或加以有效区隔，并保持整洁。(二)应具有足够空间，供设备与酒品器具的安置、卫生设施的设置、原材料的贮存、维持卫生操作及生产安全酒品的需要。四、供水设施：(一)凡与酒品直接接触及用来调配酒品的水及清洗酒品设备与用具的用水，应符合饮用水水质标准。(二)应有足够的供水设施及水量。(三)使用地下水源者，其水源应与化粪池、废弃物堆积场所等污染源，至少保持十五公尺的距离。(四)蓄水池（塔、槽）设置地点应距污秽场所、化粪池等污染源三公尺以上，并应保持清洁，每年至少清理一次并作成纪录。(五)饮用水与非饮用水的管路系统应完全分离，出水口并应明显区分。五、洗手设施：(一)洗手及干手设备的设置地点应适当，数目足够，且备有流动水、清洁剂、烘手器或擦手纸巾等设施。必要时，应设置适当的消毒设施。(二)洗手台应以不透水材料构筑，其设计及构造应不易藏污纳垢，且易于清洗消毒。(三)洗手消毒设施的设计，应能于使用时防止已清洗的手部再度遭受污染，并于明显的位置悬挂简明易懂的洗手方法标示。六、员工宿舍、餐厅、休息室及检验场所或研究室：(一)应与作业场所隔离，且应有良好的通风、采光，及设置防止病媒侵入或有害微生物污染的设施。(二)应有专人负责管理，并经常保持清洁。七、厕所：(一)设置地点应防止污染水源。(二)不得正面开向作业场所。但有缓冲设施及有效控制空气流向以防止污染者，不在此限。(三)应保持整洁，不得有不良气味，且有良好的通风、采光、防虫、防鼠等设施，并备有流动水、清洁剂、烘手器或擦手纸巾等洗手、干手设施及垃圾桶。(四)应于明显处标示「如厕后应洗手」的字样。八、更衣室应与作业场所隔离，工作人员并应有个人存放衣物的箱柜。九、应依据本条各款的规定，制订建筑与设施管理标准作业程序，并据以执行。第六条 酒产制工厂的作业场所卫生管理，应符合下列规定：一、设备与器具：(一)设备与器具的酒品接触面应保持平滑、无凹陷或裂缝，并保持清洁。(二)用于制造、加工、调配、包装等的设备与器具，使用前应确认其清洁，使用后应清洗干净；已清洗与消毒过的设备及器具，应避免再受污染。(三)设备与器具的清洗与消毒作业，应防止清洁剂或消毒剂污染酒品、酒品接触面及包装材料。二、从业人员：(一)新进从业人员应接受适当的教育训练，使其执行能力符合生产、卫生及质量管理的要求，各项训练应确实执行，作成纪录，并于在职期间接受烟酒主管机关、卫生主管机关或其认可的相关机构办理有关酒品安全、卫生与质量管理的教育训练。(二)从业人员手部应经常保持清洁，并应于进入作业场所前、如厕后或手部受污染时，依标示所示步骤正确洗手或消毒。工作中吐痰、擤鼻涕或有其他可能污染手部的行为后，应立即洗净后再工作。(三)从业人员在A型肝炎、手部皮肤病、出疹、脓疮、外伤、结核病或伤寒等疾病的传染或带菌期间，或有其他可能造成酒品污染的疾病者，不得从事与酒品接触的工作。(四)新进的作业人员，如从事直接接触酒品的工作，应先经卫生医疗机构检查合格后，始得聘雇。雇用后每年应主动办理健康检查一次。(五)作业场所内的作业人员，工作时应穿戴整洁的工作衣帽（鞋），以防头发、头屑及夹杂物落入酒品中，必要时应戴口罩。凡与酒品直接接触的从业人员，不得蓄留指甲、涂抹指甲油及佩戴饰物等，并不得使涂抹于肌肤上的化妆品及药品等污染酒品或酒品接触面。(六)作业人员工作中，不得有吸烟、嚼槟榔、嚼口香糖、饮食及其他可能污染酒品或酒品接触面的行为。(七)作业人员个人衣物应放置于更衣场所，不得带入作业场所。(八)非作业人员出入作业场所，应适当管理；若有进入作业场所的必要时，应符合本款第二目、第三目、第五目至第七目有关人员的卫生要求。三、化学物质及用具管理：(一)清洁剂、消毒剂、病媒防治使用的药剂及其他有毒化学物质，应符合相关主管机关的规定方得使用，并应明确标示，存放于固定场所上锁，不得污染酒品或酒品接触面，并应指定专人负责保管。(二)作业场所内，除维护当日卫生所必须使用的药剂外，不得存放或使用其余药剂。(三)有毒化学物质应标明其毒性、使用方法及紧急处理方法。(四)清洁、清洗及消毒用机具，应有专用场所妥善保管。四、废弃物处理：(一)废弃物不得堆放于作业场所内，场所四周不得任意堆置废弃物及容器，以防积存异物，孳生病媒。(二)废弃物的处理，应依其特性，以适当容器分类集存，并予清除；放置场所不得有不良气味或有害（毒）气体溢出，并应防止病媒的孳生，及造成人体的危害。(三)反复使用的容器于清除废弃物后，应立即清洗；处理废弃物的机器设备于停止运转时，应立即清洗，以防止病媒孳生。(四)凡有直接危害人体及酒品安全卫生之虞的化学药品、放射性物质、有害微生物、腐败物或过期回收产品等废弃物，应设专用贮存设施。五、应指派卫生管理的专责人员，针对卫生管理的情形，填报卫生管理纪录，以备查核。六、应依据本条各款的规定，制订卫生管理标准作业程序，并据以执行。第七条酒产制工厂的制程及质量管理，应符合下列规定：一、原材料管制：(一)不得使用有霉变、有毒、含有害人体健康或从未供于饮食且未经证明为无害人体健康的物质做酿酒原料。(二)若酿酒过程中需使用到食用酒精，应符合CNS标准，并备有来源证明，其属进口者，应备有经“财政部”同意进口供制酒用途使用的证明文件，以备查验；如食用酒精来源不明或进口用途非供制酒使用者，应不得为酿酒使用。(三)应建立原材料质量管理窗体，内容包括原材料生产者或供货商来源、日期、数量及质量说明等，并据以执行原材料的验收作业。(四)原材料进货时，应经验收程序，验收不合格者，应明确标示不合格，并适当区隔管制，以免遭误用。(五)原材料的暂存，应避免使半成品或成品产生污染，并应依原材料的特性贮存于适当仓库，并按时记录仓储的温湿度；需温湿度管制者，应建立管制基准。冷冻原料解冻时，应在能防止质量劣化的条件下进行。(六)使用的原材料应符合相关的卫生标准或规定，并应备有来源证明文件；使用前应加以检查，必要时加以选别，去除具缺点者及外来杂物等。(七)原材料的使用，应以先进先出为原则，并在有效期限内使用，如经长期贮存或暴露于空气、高温或其他不利条件下时，应重行检验有无可能引致变质的成分，并于确认其质量仍符合使用规格后，方得使用。(八)原料有农药、重金属或其他毒素等污染之虞时，应确认其安全性或含量符合相关法令的规定后，方可使用。(九)经拒用的原材料，应予标示「禁用」或「可经适当处理后使用」，并分别贮放。(十)内包装材料的材质应符合相关法令的规定，必要时应检附具公信力的学术研究或检验机构的检验合格文件。(十一) 酒类中添加物应设专区贮放，由专人负责管理，并以专册登录使用的种类、进货量、使用量及存量等。二、制造作业流程管制：(一)酒品制造流程规划应符合安全卫生原则，避免酒品遭受污染。(二)所有用于与酒品接触的设备与器具，应以不会产生毒素、无臭味或异味、非吸收性、耐腐蚀且可承受重复清洗及消毒的材质制造。用于处理酒精成分超过百分之四十酒品的设备、输酒管路与器具，不得使用有塑化剂或其他有危害疑虑溶出物的塑料材质制造。(三)酒品在制造过程中可能接触酒品的容器、器具及有关酒品制造的设备，不可使用铅、铜（啤酒类的糖化设备暨蒸馏酒类的蒸馏设备除外）及有毒的物质。(四)制造过程中所使用的设备、器具及容器，其操作、使用与维护应避免酒品遭受污染。(五)应采取有效措施以防止金属或其他外来杂物混入酒品中。(六)非使用自来水者，应指定专人于每日产制酒品前作净水或消毒效果的测定，并作成纪录，以备查考。(七)酒类中添加物的使用，应符合酒类卫生标准的规定。秤量与投料应建立重复检核制度，确实执行，并作成纪录。(八)制程中的半成品，贮存时应防止外来杂物的污染。(九)调配作业应在尽可能减低微生物的可能生长及酒品污染的情况及管制下进行。调配作业所使用水、食用酒精及酒类中添加物等，应确认其外观性状、风味无异常且无夹杂物后方可使用，其用量应依配方正确使用并作记录。(十)调配后应对半成品的外观、风味、酒精成分及外来杂物等作检验及记录，以确认有无异常。(十一)调配过程中的纪录窗体应记录的项目，应包括前目所列项目及原酒量、桶号、原酒精成分、调配酒量或水量等；如有添加食用酒精或食盐者，亦应记录。(十二)充填使用的容器宜事先清洗，必要时应再消毒灭菌，尤其使用回收容器更应澈底清洗消毒，并作再洗净检查。(十三)充填包装过程中，应定时检查封口的安全性并作成纪录。(十四)酒品的包装，应确保于正常贮运与销售过程中，不致于使酒品产生变质或遭受污染。(十五)使用过的不得回收包装材质，不得再使用；回收使用的容器，应以适当方式清洁，必要时应经有效杀菌处理。(十六)对制程中的异常，应采取适当的矫正及再发防止措施，并作成纪录。三、成品质量管理：(一)应详订成品的质量规格、检验项目、检验标准、抽样及检验方法，并据以执行成品质量管理，如有异常，应采取适当的矫正及再发防止措施，并作成纪录。(二)每批成品应经确认程序后，方可出货，并需记录；确认不合格者，应订定适当处理程序，并确实执行。(三)应订定成品留样保存计划，每批成品应留样保存至有效日期，无有效日期或有效期限超过一年者，留样保存至少一年以上。(四)成品不得含有毒、有害人体健康或从未供于饮食且未经证明为无害人体健康的物质或异物，并应符合酒类卫生标准的规定。四、应依据本条各款的规定，制订制程及质量管理标准作业程序，并据以执行。第八条酒产制工厂的仓储管理，应符合下列规定：一、原材料、半成品及成品的仓库，应分别设置或予适当区隔，并有足够的空间，以供物品的搬运，且应经常予以整理及整顿。二、酒品的原材料、半成品及成品应分类贮放于栈板、货架上，不得直接放置地面，并应与地面保持适当距离，或采取其他有效措施，以保持整洁及良好通风。三、仓储作业应确实记录，其有有效期限者，应以先进先出为原则。四、仓储过程中应定期检查，并确实记录。如有异状应立即处理，以确保原材料、半成品及成品的质量及卫生。五、有造成污染原料、半成品或成品之虞的物品或包装材料，应有防止交叉污染的措施，否则禁止与原料、半成品或成品一起贮存。六、为避免原材料、半成品或成品于仓储过程中因温湿度条件不当，造成霉变、潮损或其他变质情形等不良影响，必要时应有温湿度管制。七、食用酒精应存放于通风良好的场所，且严禁烟火，并有消防设施。八、成品仓库应按制造日期、品名、包装型态或批号分别堆置，加以适当标示及防护，并作记录。九、物品的仓储应有存量纪录，成品出厂应作成出货纪录，内容应包括批号、出货时间、地点、对象、数量等，以便发现问题时，可迅速回收。十、应依据本条各款的规定，制订仓储管理标准作业程序，并据以执行。第九条酒产制工厂的运输管理，应符合下列规定：一、运输车辆应于装载前检查其装备，并保持清洁卫生。二、产品堆栈时应保持稳固，并能维持适当的空气流通。三、装载低温酒品前，所有运输车辆的厢体应能确保酒品维持有效保温状态。四、运输过程中应避免日光直射、雨淋、激烈的温湿度变动、撞击及车内积水等。五、有造成污染原料、半成品或成品之虞的物品或包装材料，应有防止交叉污染的措施，否则禁止与原料、半成品或成品一起运输。六、应依据本条各款的规定，制订运输管理标准作业程序，并据以执行。第十条酒产制工厂的检验与量测管制，应符合下列规定：一、凡设有检验场所者，应具有足够空间与检验设备，以供进行质量管理相关的检验工作。必要时，得委托“中央”烟酒主管机关或“中央”卫生主管机关公告认可的研究或检验机构代为检验。二、用于测定、控制或记录的测量器或纪录仪，应能发挥功能且须准确，并定期校正。三、检验中可能产生的生物性与化学性的污染源，应建立安全管制系统，并确实执行。四、检验所用的方法如系采用经修改过的简便方法时，应定期与原有检验方法核对，并予记录。五、应依据本条各款的规定，制订检验与量测的标准作业程序，并据以执行。第十一条 酒产制工厂的稽核管理制度，应符合下列规定：一、应建立有效的内部稽核制度，以定期或不定期的方式，藉由各级管理阶层实施查核，以发掘潜在的问题，并加以合理解决、矫正与追踪。二、担任内部稽核的人员，须经适当的训练，并作成纪录。三、应建立有效的内部稽核计划，详订稽核频率，确实执行且作成纪录，并追踪处理与改善。第十二条 酒制造业者的客诉、成品退换货、报废及其他成品回收管制，应符合下列规定：一、应制订客诉案件的标准作业程序，并确实执行。对客诉案件的处理应作成纪录，以供查核。二、应制订成品退换货、报废及其他成品回收管制的标准作业程序，并确实执行。其处理应作成纪录，并注明产品名称、批号、数量、原因、处理方式及日期，以供查核。第十三条 酒制造业者对本标准所规定的有关纪录，至少应保存至该批成品出厂后一年。第十四条 查核人员前往作业场所查核时，应依据“中央”主管机关所定的查核表，会同酒制造业者相关主管人员逐项查核记录。前项查核发现的缺失，除违反第四条规定属情节重大缺失外，依对酒品卫生质量的影响程度，分别定为主要缺失、次要缺失及相关缺失（附表）。三项相关缺失相当于一项次要缺失；三项次要缺失相当于一项主要缺失；同一相关（或次要）缺失有应行改善情形连续达三次者，改列一项次要（或主要）缺失应行改善的次数。第十五条 违反本标准规定者，主管机关依本法第五十三条第三款规定处罚如下：一、有主要缺失或相当主要缺失一项以上，未达三项者，处罚款并限期改善；届期未改善者，废止其设立许可。二、违反第四条规定、有主要缺失或相当主要缺失三项以上，或其他违规情节重大者，处罚款并废止其设立许可。第十六条 本标准自发布后六个月施行。附表  酒制造业者查核缺失类别表备注：查核项目的缺失以符号表示者，表示该查核项目的各子项皆属该符号所代表的缺失类别。,SCFF.INFO(M).MT.046 PET瓶向酒精饮料的迁移 （2015年2月）
